id,nombre,efecto,velocidad,descripcion
CART,Transcrito Reg. Cocaina,Modulador,1.1,"Suprime el apetito y modula el estres."
VAS,Vasopresina,Modulador,0.9,"Regula la homeostasis y el comportamiento social."
NE,Norepinefrina,Excitatorio,1.8,"Relacionado con la atencion y respuesta de alerta."
AGRP,Proteina Agouti,Modulador,0.7,"Aumenta la ingesta de alimentos."
NO,Oxido Nitrico,Modulador,3.0,"Gas que difunde libremente (retroalimentacion)."
ACH,Acetilcolina,Excitatorio,2.0,"Fundamental para la memoria y activacion muscular."
SOM,Somatostatina,Modulador,0.7,"Inhibe la secrecion de hormonas y modula neuronas."
GAL,Galanina,Modulador,0.8,"Implicado en el aprendizaje y el sueno."
MEL,Melatonina,Inhibitorio,0.5,"Regula el ciclo circadiano sueno-vigilia."
MET,Met-encefalina,Inhibitorio,0.6,"Opioide endogeno que reduce el dolor."
GNRH,Hormona Lib. Gonado.,Modulador,0.7,"Regulacion del comportamiento reproductivo."
BOMB,Bombesina,Modulador,0.9,"Regula la termorregulacion."
NOS,Nociceptina,Inhibitorio,0.6,"Antagonista de la analgesia."
SUBP,Sustancia P,Excitatorio,0.7,"Transmision de senales de dolor."
ADEN,Adenosina,Inhibitorio,0.4,"Induce el sueno y suprime el despertar."
PACAP,Peptido Act. Adenilato,Excitatorio,1.4,"Neuroprotector y modulador sinaptico."
ASP,Aspartato,Excitatorio,2.3,"Estimulante cerebral similar al glutamato."
5HT,Serotonina,Modulador,1.0,"Influye en el estado de animo y ciclo del sueno."
D-SER,D-Serina,Excitatorio,2.1,"Co-agonista del receptor NMDA."
EPI,Epinefrina,Excitatorio,2.0,"Respuesta de estres agudo (adrenalina)."
LEU,Leu-encefalina,Inhibitorio,0.6,"Regulacion de la respuesta al dolor."
MCH,Hormona Conc. Melanina,Modulador,0.7,"Regula el sueno REM y el balance energetico."
CO,Monoxido de Carbono,Modulador,2.8,"Mensajero gaseoso de larga distancia."
OX,Oxitocina,Modulador,0.8,"Vinculacion social y confianza."
MOT,Motilina,Modulador,0.8,"Comunicacion intestino-cerebro."
VIP,Peptido Vasoactivo Int.,Modulador,1.1,"Regula ritmos circadianos."
CRH,Hormona Lib. Cortico.,Excitatorio,1.2,"Coordinador central de la respuesta al estres."
GHRH,Hormona Lib. Somat.,Modulador,0.9,"Relacionado con el crecimiento y reparacion celular."
NPS,Neuropeptido S,Excitatorio,1.6,"Aumenta el estado de alerta y reduce el miedo."
HIS,Histamina,Excitatorio,1.4,"Regula el despertar y la atencion."
NPW,Neuropeptido W,Modulador,0.8,"Regula el eje del estres y la energia."
QRFP,Piroglutamil RF-amida,Modulador,0.9,"Implicado en la conducta alimentaria."
DA,Dopamina,Modulador,1.5,"Regula el placer, recompensa y la motivacion."
NPY,Neuropeptido Y,Modulador,1.0,"Estimula el apetito y reduce la ansiedad."
AEA,Anandamida,Modulador,0.6,"Cannabinoide endogeno; regula el apetito y animo."
CCK,Colecistoquinina,Modulador,0.9,"Relacionado con la saciedad y ansiedad."
DYN,Dinorfina,Inhibitorio,0.5,"Opioide relacionado con el estres negativo."
ANGII,Angiotensina II,Excitatorio,1.5,"Estimula la sed y la presion arterial."
TAUR,Taurina,Inhibitorio,1.3,"Protege contra la excitotoxicidad."
ATP,Adenosin trifosfato,Excitatorio,2.2,"Co-transmisor en sinapsis rapidas."
B-END,Beta-endorfina,Inhibitorio,0.5,"Produce euforia y analgesia natural."
PRRP,Peptido Lib. Prolactina,Modulador,0.8,"Respuesta al estres y balance de fluidos."
GABA,Acido Gamma-aminobutirico,Inhibitorio,1.2,"Reduce la actividad neuronal; control del estres."
OREX,Orexina (Hipocretina),Excitatorio,1.9,"Mantiene el estado de vigilia."
NKA,Neuroquinina A,Excitatorio,1.2,"Mediador de la inflamacion neurogenica."
NKB,Neuroquinina B,Modulador,1.1,"Regulacion de la funcion reproductiva."
2-AG,2-araquidonoilglicerol,Modulador,0.6,"Principal cannabinoide del sistema nervioso."
GLU,Glutamato,Excitatorio,2.5,"Principal mediador de informacion sensorial y motora."
TRH,Hormona Liberadora Tir.,Excitatorio,1.3,"Estimula el metabolismo neuronal."
GLY,Glicina,Inhibitorio,1.1,"Principal inhibidor en la medula espinal."
